Key,Type,Desc,Ru
Guide/,Text,,Религия
Guide/#FAQ_Title,Text,,"<color=white>Часто задаваемые вопросы</color>"
Guide/#FAQ_Content,Text,,"<color=white>Деньги</color>
<color=white>В:</color> Я хочу, чтобы у моего города были деньги — и как можно больше. Как лучше всего наполнить городскую казну?
<color=white>О:</color> Ответ прост: город должен зарабатывать больше, чем тратит. Убедитесь, что почти все жители города платят налоги. Повышение налоговой ставки пополнит казну, однако полученных средств может оказаться недостаточно, чтобы компенсировать ухудшение <link=""#PopulationGrowth_Title""><color=#00FFFF>настроения в городе</color></link>, вызванное повышением налогов. Кроме того, как можно скорее откройте <link=""#Trade_Title""><color=#00FFFF>торговые</color></link> пути и экспортируйте как можно больше товаров. Сверяйтесь с <link=""#WorldMap_Title""><color=#00FFFF>картой мира</color></link>, чтобы видеть, насколько город приблизился к годовым ограничениям торговли.
Сокращение городских расходов также повышает прибыль. Развивайте город медленно и осмотрительно. Сами здания, разумеется, стоят денег, но нужно учитывать и жалованье работников, а также расходы на жильё и услуги для них. Слишком быстрое развитие города легко может привести к долгам из-за затрат на оплату труда и сопутствующие службы.

<color=white>В:</color> Почему мой город не может собирать налоги?
<color=white>О:</color> Убедитесь, что построили дворец. Город не может собирать налоги, пока не будет построен дворец.

<color=white>В:</color> Я изо всех сил тружусь, но мне не платят. В чём дело?
<color=white>О:</color> Жалоба, конечно, распространённая. В Pharaoh вы не можете назначить себе личное жалованье, пока не построите особняк.

<color=white>В:</color> Как платить дань? Что произойдёт, если я её не заплачу?
<color=white>О:</color> Если у вас есть деньги, в конце года казна автоматически выплачивает дань. Просто проследите, чтобы к концу года в хранилищах оставались средства. Если казна пуста, выплатить дань не получится и ваш <link=""#Ratings_Title""><color=#00FFFF>рейтинг царства</color></link> снизится. Если вы не сможете заплатить дань второй год подряд, рейтинг царства упадёт ещё немного, а при дальнейшем росте задолженности штраф станет серьёзнее. Подробнее см. раздел о <link=""#Money_Title""><color=#00FFFF>долгах</color></link>.

<color=white>Ходоки</color>
<color=white>В:</color> Почему здание, у которого указан доступ к рабочей силе, так и не находит работников?
<color=white>О:</color> Вероятно, вы построили <link=""#Roadblock_Title""><color=#00FFFF>заграждение</color></link> слишком близко к зданию. Понаблюдайте за зданием и убедитесь, что его ходок выходит с правильной стороны заграждения. Иногда служащие здания отправляют своего ходока не в ту сторону. Особенно неприятно это для искателей рабочей силы: здание считает, что доступ к работникам у него есть, но заграждение не позволяет ходоку добраться до жилых кварталов. Перестройте заграждение на одну клетку дальше.

<color=white>Религия</color>
<color=white>В:</color> Я хочу устроить праздник, но игра не позволяет. Почему?
<color=white>О:</color> Причин может быть несколько. Есть ли в городе праздничная площадь? Нет площади — нет праздников. Проводили ли вы уже два праздника за последние 12 месяцев? За любой двенадцатимесячный период в городе можно провести не более двух праздников. Для большого праздника убедитесь, что запасено достаточно пива. Наконец, проверьте городскую казну: если город не может оплатить праздник, провести его не получится.

<color=white>В:</color> Бог-покровитель моего города постоянно сердится. Что нужно сделать, чтобы его умилостивить?
<color=white>О:</color> Бог-покровитель требует больше внимания, чем местные божества. Убедитесь, что в его или её честь в городе построено больше храмов и святилищ, чем в честь остальных богов, и подумайте о строительстве большого храмового комплекса, посвящённого покровителю.

<color=white>Развлечения</color>
<color=white>В:</color> Я не могу найти подходящее место для развлекательного заведения. В чём может быть проблема?
<color=white>О:</color> За исключением домов сенета, развлекательные заведения нужно размещать на перекрёстках — Т-образных или обычных. Вокруг перекрёстка также должно быть достаточно свободного места для сцен.

<color=white>В:</color> В городе много развлекательных заведений, но нет артистов. Почему представления не начинаются?
<color=white>О:</color> Убедитесь, что в городе построены учебные заведения. Прежде чем развлекать публику, артисты должны освоить своё ремесло.

<color=white>В:</color> Почему мой дом сенета не работает?
<color=white>О:</color> Всё дело в пиве. Убедитесь, что в доме сенета есть пиво для посетителей.

<color=white>Земледелие</color>
<color=white>В:</color> Почему пойменные фермы не производят урожай?
<color=white>О:</color> Проверьте, есть ли рядом с фермами рабочий лагерь. Крестьяне из рабочего лагеря обрабатывают почву пойменных ферм.

<color=white>В:</color> Сколько пойменных ферм может обслуживать один рабочий лагерь?
<color=white>О:</color> Зависит от обстоятельств. Полное объяснение приведено в разделе справки о <link=""#WorkCamp_Title""><color=#00FFFF>рабочих лагерях</color></link>.

<color=white>В:</color> Я построил рыбацкую пристань, но у неё нет лодки. Почему?
<color=white>О:</color> Рыбацкие лодки строит верфь. Убедитесь, что в городе работает хотя бы одна верфь.

<color=white>Хранение и распределение</color>
<color=white>В:</color> На базарах постоянно заканчиваются еда и товары. Как поддерживать запасы на прилавках?
<color=white>О:</color> Постройте рядом с базаром амбар и склад. Если закупщице приходится далеко ходить, за время её отсутствия на базаре обязательно что-нибудь закончится. Используйте особые распоряжения амбара и склада, чтобы в них всегда имелся достаточный запас припасов.

<color=white>В:</color> Как наиболее эффективно использовать склады?
<color=white>О:</color> Чтобы получить максимум пользы от <link=""#StorageYard_Title""><color=#00FFFF>складов</color></link>, тщательно выбирайте их расположение и правильно применяйте особые распоряжения. Склады следует размещать рядом со зданиями, которым нужны хранящиеся там припасы: базарами, доками, площадками строительства памятников и производствами. С помощью особых распоряжений склада добейтесь, чтобы в нём хранились именно те товары, которые нужны соседним зданиям. Склады также следует располагать рядом с производственными зданиями, чтобы сократить время пути возчиков. Если возчику приходится далеко везти товары, производство может простаивать до его возвращения.

<color=white>Памятники</color>
<color=white>В:</color> Как ускорить строительство памятника?
<color=white>О:</color> Постройте рядом со стройплощадкой достаточно рабочих лагерей, необходимых строительных гильдий и складов, принимающих только строительные материалы. Если город способен самостоятельно производить строительные материалы, постройте много каменоломен и кирпичных мастерских, чтобы склады не пустовали. Также обеспечьте город древесиной, необходимой гильдии плотников для строительства пандусов и лесов. Если город не может производить нужное сырьё, импортируйте у торговых партнёров как можно больше. Если строительство памятника по какой-либо причине замедлилось, щёлкните правой кнопкой мыши по стройплощадке и спросите прораба. Он объяснит, что задерживает работы. Кроме того, если в городе несколько строек, крестьяне и строители могут не договориться, с какой начать, и в итоге не работать ни на одной.

<color=white>В:</color> Для строительства памятника нужен определённый ресурс, но мой город не может его производить и никто не хочет его продавать. Создатели миссии ошиблись?
<color=white>О:</color> В некоторых миссиях необходимый торговый путь открывается только после выполнения просьб других городов, особенно просьб о военной помощи. Если вы не выполните первую просьбу, обычно ещё будет возможность исправиться и открыть жизненно важный торговый путь. Если продолжите игнорировать такие просьбы, можете проиграть миссию. В каждой миссии доступны все необходимые товары, но иногда их приходится заслужить, и успех не всегда гарантирован.

<color=white>Торговля</color>
<color=white>В:</color> Я открыл торговый путь, но город ничего не импортирует и не экспортирует. Как начать торговлю?
<color=white>О:</color> Посетите торгового советника и укажите, какие товары покупать или продавать. Также убедитесь, что в городе есть склад, а если торговый партнёр прибывает по воде — ещё и док.

<color=white>В:</color> Я пытаюсь импортировать еду. Торговый путь открыт, торговому советнику поручен импорт, но еда всё равно не поступает. Жители голодают — что делать?
<color=white>О:</color> Убедитесь, что склады получили распоряжение принимать импортируемую еду. Помните: по умолчанию склады не принимают продукты.

<color=white>В:</color> Я позволил <link=""#OverseerCommerce_Title""><color=#00FFFF>торговому советнику</color></link> определять объём товаров, который следует держать на складах. Как убедиться, что он принимает верные решения?
<color=white>О:</color> Получив поручение управлять торговлей, торговый советник учитывает численность населения города, действующие производства и строящиеся памятники. На основании только этих факторов он оценивает потребности города. Чтобы увидеть его рекомендации, нажмите кнопки управления соответствующим товаром. Когда появится кнопка выбора объёма, показанное по умолчанию количество и будет тем запасом, который торговый советник рекомендует держать на складах.

<color=white>Жильё</color>
<color=white>В:</color> Размеченные мной жилые участки постоянно исчезают. Что происходит?
<color=white>О:</color> Любое жильё должно находиться не дальше двух клеток от дороги, иначе оно исчезнет. Кроме того, переселенцы должны иметь возможность добраться до жилых кварталов. Убедитесь, что между точками входа и выхода переселенцев из города — <link=""#Roads_Title""><color=#00FFFF>царской дорогой</color></link> — и вашим жильём существует свободный путь."
Guide/#AbuSimbel_Content,Text,,"Храм Абу-Симбел представляет собой величественный монумент, высеченный по приказу Рамсеса II в скалах из песчаника в верховьях Нила в Нубии. Чтобы начать строительство Абу-Симбела, сначала выберите его из списка монументов, при этом на карте появится его проекция. Основная часть монумента должна находиться внутри скал. Вход, который выступает со стороны монумента, должен располагаться на расчищенной земле. Если вся проекция приобретёт зелёный цвет, то это значит, что выбрано подходящее место. Щёлкните левой кнопкой мыши, чтобы зафиксировать место строительства. Возможно, во время поиска подходящей площадки вам пригодится Плоский режим, скрывающий все скалы.
После выбора площадки вам понадобится квалифицированная рабочая сила из соответствующих артелей: <link=""#ConstructionGuilds_Title""><u>каменотёсы</u></link> (для работы по камню) и <link=""#ConstructionGuilds_Title""><u>плотники</u></link> (для установки строительных лесов). Плотникам для работы потребуется <link=""#WoodCutter_Title""><u>древесина</u></link>, которую можно закупать через <link=""#Trade_Title""><u>торговые пути</u></link> или рубить на месте с помощью дровосеков.
Щёлкните по монументу, чтобы просмотреть отчёт о ходе работ от его <link=""#ConstructionForeman_Title""><u>прораба</u></link>."
Guide/#AbuSimbel_Title,Text,,Абу-Симбел
Guide/#Alexandria_Content,Text,,"Учёные и мудрецы со всего известного мира стекаются в великую Александрийскую библиотеку, крупнейшее хранилище всех знаний человечества. Для строительства Александрийской библиотеки сперва необходимо подобрать подходящее место. Выберите её из списка монументов, при этом на карте появится её проекция. Если проекция полностью зелёная, это значит, что выбранное место полностью соответствует необходимым требованиям.
Для строительства Александрийской библиотеки необходимы услуги чернорабочих из <link=""#WorkCamp_Title""><u>рабочих лагерей</u></link>, <link=""#ConstructionGuilds_Title""><u>каменотёсов</u></link> и <link=""#ConstructionGuilds_Title""><u>плотников</u></link> из соответствующих артелей. Плотникам для строительных лесов потребуется <link=""#WoodCutter_Title""><u>древесина</u></link>, которую можно закупать у других городов, если рядом не растут деревья. Вам также потребуется <link=""#Trade_Title""><u>закупать</u></link> белый мрамор. Для завершения строительства понадобится <link=""#GoldMine_Title""><u>медь</u></link>, которую можно получить либо из собственных рудников, либо у других городов.
Щёлкните по Александрийской библиотеке во время её строительства, чтобы получить отчёт о ходе работ от <link=""#ConstructionForeman_Title""><u>прораба</u></link>."
Guide/#Alexandria_Title,Text,,Александрийская библиотека
Guide/#Apothecary_Content,Text,,"Аптеки являются заведениями, отправляющими на обход улиц аптекарей. Аптекари обезвреживают всех <link=""#Health_Title""><u>заражённых чумой жителей</u></link>, что встретят на своём пути. Аптекари наиболее важны для снижения риска возникновения <link=""#Health_Title""><u>малярии</u></link>. Аптекарям для своей работы необходим доступ к дороге и рабочей силе.
Свяжитесь с <link=""#OverseerHealth_Title""><u>советником по здравоохранению</u></link>, чтобы получить дополнительную информацию."
Guide/#Apothecary_Title,Text,,Аптека
Guide/#Architect_Content,Text,,"Такие крупные сооружения, как склады, рудники, амбары, храмы и храмовые комплексы, подвержены риску обрушения. Архитекторы, обходящие улицы города, устраняют дефекты до того, как наступит непоправимое. Архитекторы находится на постах архитектора, которым для своей работы необходим доступ к дорогам и рабочей силе. Если вы заметили, что у определённого здания высокий риск обрушения, разместите рядом пост архитектора, чтобы архитектор позаботился об этом.
Обрушение может вызвать катастрофические последствия. Если обрушится <link=""#Granary_Title""><u>амбар</u></link> или <link=""#StorageYard_Title""><u>склад</u></link>, все запасы пищи и товаров в них будут потеряны."
Guide/#Architect_Title,Text,,Пост архитектора
Guide/#Bandstand_Content,Text,,"Эстрады — это площадки среднего размера с двумя сценами: для жонглёров и музыкантов. Сцена жонглёров находится в одном углу площадки, а музыканты играют на второй сцене в другом углу. Эстрады должны быть размещены на обычном или Т-образном перекрёстке. Им нужны собственные рабочие для удовлетворения потребностей исполнителей, а также обученные в <link=""#TrainingCenters_Title""><u>учебных центрах</u></link> жонглёры и музыканты. Домам нужен доступ к развлечениям для дальнейшего <link=""#HousingDesirability_Title""><u>развития</u></link>, а жонглёры и музыканты приносят пользу всем домам, мимо которых проходят. Наличие эстрады по соседству также повышает привлекательность района.
Действующие эстрады также влияют на <link=""#Ratings_Title""><u>рейтинг культуры</u></link> города. Чтобы узнать, сколько жонглёров и музыкантов работает в городе, посетите <link=""#OverseerDiversions_Title""><u>советника по развлечениям</u></link>."
Guide/#Bandstand_Title,Text,,Эстрада
Guide/#Barley_Content,Text,,"Фермы по выращиванию ячменя, льна и хны немного отличаются от ферм <link=""#GrainFarm_Title""><u>зерна</u></link>, <link=""#Fruit_Title""><u>фруктов и овощей</u></link>: они производят не пищу, а сырьё для изготовления товаров. Ячмень выращивается для производства <link=""#Brewery_Title""><u>пива</u></link>, лён — <link=""#Weaver_Title""><u>ткани</u></link>, а хна — <link=""#PaintMaker_Title""><u>краски</u></link>. При этом эти фермы строятся и функционируют точно так же, как и другие фермы.
Фермы можно размещать на пойменных полях. Вне поймы их необходимо размещать на пахотных лугах, которые можно отличить по растущим на них цветам. Фермы должны находиться рядом с дорогой и нуждаются в рабочей силе. Пойменным фермам не нужен прямой доступ к рабочим, они используют труд чернорабочих с <link=""#WorkCamp_Title""><u>рабочих лагерей</u></link>. Прочтите раздел <link=""#FoodFarming_Title""><u>Земледелие</u></link> прежде, чем размещать новые поля.
После сбора урожая сырьё отправляют в ближайшую мастерскую, для которой оно нужно (ячмень — в пивоварню,  лён — в ткацкую мастерскую, хна — в мастерскую по изготовлению красок). Там сырьё перерабатывается в готовый продукт, который затем распространяется среди жителей, используется в <link=""#ConstructionGuilds_Title""><u>артели художников</u></link> или <link=""#Trade_Title""><u>продаётся</u></link> другим городам. Если подходящих мастерских нет или в них нет свободного места, ячмень, лён и хну отправляют на <link=""#StorageYard_Title""><u>склад</u></link>. Все три фермы отрицательно влияют на <link=""#HousingDesirability_Title""><u>привлекательность</u></link> находящихся рядом районов."
Guide/#Barley_Title,Text,,"Фермы по выращиванию ячменя, льна и хны"
Guide/#Bazaar_Content,Text,,"Без базаров у людей никогда не будет доступа к еде и товарам, хранящимся в <link=""#Granary_Title""><u>амбарам</u></link> и на <link=""#StorageYard_Title""><u>складах</u></link>. Только базары могут распределять необходимые припасы населению. Для нормального функционирования базарам необходим доступ к дорогам и рабочей силе. Базар по-прежнему будет функционировать, если в нём не хватает работников, но с гораздо меньшей эффективностью. На каждом базаре работают две закупщицы, одна из которых покупает продукты в амбарах, а другая — на складах. Их обязанности не пересекаются — закупщица амбаров не может приобретать товары со склада, и наоборот. Однако закупщица может приобретать более одного товара одновременно.
Так, например, идущая в амбар закупщица может купить там и зерно, и гранаты, но не сможет купить зерно и керамику, поскольку керамика не хранится в амбарах. Как только закупщица найдёт нужные ей товары, она вернётся на базар вместе с вереницей помощников, несущих тяжёлый груз.

Закупщица является <link=""#Walkers_Title""><u>служащим, имеющим точку назначения</u></link>. Она проводит свою жизнь, курсируя между своим базаром и городскими амбарами и складами. Она не станет ходить через весь город, чтобы добраться до необходимых припасов, и она не будет вести дела с поставщиками за пределами её досягаемости. Если вы заметите, что закупщица сидит без дела, скорее всего, необходимые товары находятся слишком далеко или ей приходится иметь дело со слишком большим количеством поставщиков.
Другая работница базара, базарная торговка, берет закупленные товары и распределяет их по близлежащим районам. Когда торговка проходит на расстоянии двух клеток от жилья, он снабжает каждый дом всеми необходимыми товарами, что есть у неё при себе. Первоочередной задачей является пополнение запасов предметов, которые необходимы дому, чтобы он не деградировал (см. статью <link=""#HousingDesirability_Title""><u>Дома и привлекательность</u></link>). Когда эти потребности удовлетворены, домам понадобятся товары, который необходимы для развития дома. Таким образом, базарная торговка — это «бродячий служащий». Её задача — бродить по близлежащим кварталам и обслуживать встреченных клиентов, а не идти к какому-то конкретному месту назначения.
Если в какой-то район не поступает товар, проследите маршрут следования торговки. Она не следует заданному маршруту. Каждый раз, попадая на перекрёсток, она случайным образом выбирает куда идти и не всегда будет ходить одним и тем же путём. Тщательно планируйте городские дороги и используйте <link=""#Roadblock_Title""><u>заграждения</u></link>, чтобы ограничивать передвижения торговок. Улучшенная версия базара (его внешний вид будет отличаться от первоначального вида палатки) будет посылать уже двух «бродячих служащих» вместо одного.

Потребности людей в основных товарах — продуктах питания и керамике, будут удовлетворяться до того, как будут удовлетворены более изысканные нужды в пиве или ткани. Базарные закупщицы проигнорируют склад, битком набитый тканью, если дома, которые они обслуживают, нуждаются в керамике. Таким образом, очень важно поддерживать стабильные поставки товаров, в которых начинают нуждаться дома. Помните, что по мере развития дома начинают вмещать больше людей и, следовательно, потребляют больше товаров. Иногда приходится добавить больше базаров, чтобы обеспечить надлежащий запас товаров в районе. Щёлкните по дому, чтобы увидеть, в чём в данный момент нуждаются его обитатели.
Чтобы помочь жителям в поставках продуктов и товаров, стройте амбары и склады рядом с базарами. Используйте специальные заказы амбара и склада, чтобы обеспечить их именно теми товарами, в которых нуждаются базары. Для большего контроля щёлкните по базару, чтобы увидеть список хранимых товаров. В этом списке можно задавать товары, которые базар будет приобретать. Хотя существование жителей зависит от наличия товаров в ближайшем базаре, никто из них не хочет жить слишком близко к ним. Это очень шумные места, на которых иногда попадаются неопрятные личности, и запах от них может быть неприятным."
Guide/#Bazaar_Title,Text,,Базар
Guide/#BentPyramid_Content,Text,,"Придумавшие ломаную пирамиду архитекторы, задумали гигантский обелиск с ломаными сторонами, символизирующий согревающие лучи солнца. Чтобы пирамида сияла так же ярко, как солнце, её стороны были сглажены. Чтобы построить ломаную пирамиду, вам потребуются запасы <link=""#StoneQuarries_Title""><u>камня</u></link> и <link=""#StoneQuarries_Title""><u>известняка</u></link> и чернорабочие из <link=""#WorkCamp_Title""><u>рабочего лагеря</u></link>. Когда на <link=""#StorageYard_Title""><u>складе</u></link> появятся четыре блока камня или известняка, рабочие погрузят их на салазки и перетащат их на строительную площадку. Чтобы правильно уложить камни, необходимы услуги <link=""#ConstructionGuilds_Title""><u>артели каменщиков</u></link>. <link=""#ConstructionGuilds_Title""><u>Артель плотников</u></link> изготовит пандусы из доставленной в неё древесины. Ломаные пирамиды бывают двух размеров.
Для получения дополнительной информации обратитесь к статьям <link=""#MonumentConstruction_Title""><u>строительство монументов</u></link>, <link=""#OverseerMonuments_Title""><u>советник по монументам</u></link> и <link=""#ConstructionForeman_Title""><u>прораб</u></link>."
Guide/#BentPyramid_Title,Text,,Ломаная пирамида
Guide/#Booth_Content,Text,,"Помосты — самые маленькие и дешёвые <link=""#Entertainment_Title""><u>развлекательные</u></link> площадки, которые можно построить. На помосте находится только одна сцена, на которой жонглёры развлекают публику акробатикой и трюками. Помостам необходим особое размещение: их нужно ставить только на повороте дороги. Помосты также должны иметь доступ к рабочей силе и обученным жонглёрам. Работники помогают сдерживать толпу и обеспечивают всем необходимым выступающего жонглёра. Жонглёры проходят обучение в соответствующей <link=""#TrainingCenters_Title""><u>школе жонглёров</u></link>, и могут выступать также на <link=""#Bandstand_Title""><u>эстрадах</u></link> и <link=""#Pavilion_Title""><u>сценах</u></link>. Домам нужен доступ к развлечениям для дальнейшего <link=""#HousingDesirability_Title""><u>развития</u></link>, а жонглёры приносят пользу всем домам, мимо которых проходят. Наличие помоста по соседству также повышает привлекательность района.
Активные помосты также влияют на <link=""#Ratings_Title""><u>рейтинг культуры</u></link> города. Чтобы узнать, сколько жонглёров работает в городе, посетите <link=""#OverseerDiversions_Title""><u>советника по развлечениям</u></link>."
Guide/#Booth_Title,Text,,Помост жонглеров
