Key,Type,Desc,Ru
Worldmap/#Abedju,Text,,Абджу
Worldmap/#Abu,Text,,Абу
Worldmap/#Baki,Text,,Баки
Worldmap/#Behdet,Text,,Бехдет
Worldmap/#Djedu,Text,,Джеду
Worldmap/#Heh,Text,,Хех
Worldmap/#Henen-nesw,Text,,Хенен-несут
Worldmap/#Hetepsenusret,Text,,Хотеп-Сенусерт
Worldmap/#Iken,Text,,Икен
Worldmap/#Iunet,Text,,Иунет
Worldmap/#Kebet,Text,,Кебет
Worldmap/#Khmun,Text,,Шмун
Worldmap/#Men-nefer,Text,,Мен-нефер
Worldmap/#MenatKhufu,Text,,Менат-Хуфу
Worldmap/#Migdol,Text,,Мигдол
Worldmap/#Nekhen,Text,,Нехен
Worldmap/#Nubt,Text,,Нубет
Worldmap/#On,Text,,Он
Worldmap/#Perwadjyt,Text,,Пер-Уаджит
Worldmap/#Pwenet,Text,,Пунт
Worldmap/#Rostja,Text,,Ростау
Worldmap/#Rowarty,Text,,Роварти
Worldmap/#Sauty,Text,,Асьют
Worldmap/#Sawu,Text,,Саву
Worldmap/#Shaat,Text,,Шаат
Worldmap/#Waset,Text,,Уасет
Missions/#200_name,Text,,Нубет
Missions/#202_name,Text,,Пер-Уаджит
Missions/#203_name,Text,,Нехен
Missions/#204_name,Text,,Мен-нефер
Missions/#206_name,Text,,Бехдет
Missions/#207_name,Text,,Абджу
Missions/#209_name,Text,,Абу
Missions/#216_name,Text,,Иунет
Missions/#217_name,Text,,Он
Missions/#218_name,Text,,Ростау
Missions/#220_name,Text,,Джеду
Missions/#224_name,Text,,Уасет
Missions/#225_name,Text,,Кебет
Missions/#226_name,Text,,Менат-Хуфу
Missions/#228_name,Text,,Икен
Missions/#229_name,Text,,Саву
Missions/#230_name,Text,,Хех
Missions/#232_name,Text,,Шмун
Missions/#233_name,Text,,Асьют
Missions/#235_name,Text,,Баки
Missions/#236_name,Text,,Роварти
Missions/#237_name,Text,,Хотеп-Сенусерт
Missions/#C46_name,Text,,Мигдол
Missions/#C46_tagline_mission_screen,Text,,Оборона Мигдола
Missions/#200_mission,Text,,"Добро пожаловать в Древний Египет, страну фараонов! Вы примете участие в истории величайшей цивилизации, просуществовавшей на протяжении пятнадцати столетий и двух десятков поколений. Вы проведёте свою династию вперёд, поколение за поколением, от зарождения египетской цивилизации — к становлению уникальной и могущественной империи и даже дальше.

Наша история начинается более пяти тысяч лет назад, на берегах Нила, в местечке под названием Нубет. Здесь небольшая группа племён в суровых условиях ведёт борьбу за существование. Ваш род во главе с вами управляет этим небольшим поселением."
