Key,Type,Desc,Ru,English,French,Spanish,German,Italian
Menu/Language/#Ru,Text,,Русский,Русский,Русский,Русский,Русский,Русский
Menu/#Save_Already_Exists,Text,,Файл сохранения уже существует
Menu/#Save_Invalid_FileName,Text,,Имя сохранения содержит недопустимые символы
Menu/Hover_MilitaryMission,Text,,"Это военная миссия. Ожидайте множества вторжений и запросов на отправку войск."
Menu/Hover_PeacefulMission,Text,,"Это мирная миссия. Вторжений и запросов на отправку войск будет меньше, чем в альтернативном варианте."
Menu/#Population_hover,Text,,Количество рабочих: {0}. Всего жителей: {1}. Уровень безработицы: {2}%.
Menu/#Population_hover_missing_workers,Text,,Количество рабочих: {0}. Всего жителей: {1}. Требуется дополнительных рабочих: {2}.
Menu/#Population_hover_enhanced,Text,,"Жителей: {0} (требуется {1})"
Menu/#ObjectivesNeeded_hover,Text,,"(требуется {0})"
Menu/#Funds_hover,Text,,"Доступны экстренные средства."
Menu/#Funds_hover_EmergencyFundUsed,Text,,"Экстренные средства исчерпаны! Когда закончатся текущие средства, город окажется в долгах."
Menu/#Funds_hover_Negative,Text,,"Город в долгах! Вы можете потратить в кредит до 5 000 дебенов."
Menu/#Funds_hover_Over5000,Text,,"Кредит исчерпан! Вы не сможете тратить деньги, пока долг не опустится ниже 5 000 дебенов."
Menu/Options/#Difficulty_VeryHard,Text,,"Очень сложно"
Menu/Event/#Stockpile,Text,,"Запасать"
Menu/Event/#Stockpiling,Text,,"Накопление запасов"
Menu/Event/#Deliver,Text,,"Отправить"
Menu/Event/#DeliverAndReuse,Text,,"Отправить и использовать снова"
Menu/Options/#Tower_0_hover,Text,,"Башни автоматически получают доступ к рабочей силе, даже будучи не подключёнными к дорожной сети."
Menu/Options/#Tower_1_hover,Text,,"Башням необходимо подключение к дорожной сети, чтобы получить доступ к рабочей силе."
Menu/Options/#Waterlift_0_hover,Text,,"Шадуфы получают доступ к рабочей силе
даже без соединения с дорогой"
Menu/Options/#Waterlift_1_hover,Text,,"Шадуфы получают доступ к рабочей силе
только при соединении с дорогой"
Menu/Options/#UncappedZoom_hover,Text,,"Снимает ограничение на отдаление камеры
(может повлиять на производительность игры)"
#Victory_Difficulty,Text,,"Использованная сложность:"
#Victory_Duration_Months,Text,,месяцев
#Victory_Duration_Month,Text,,Месяц
#Victory_Duration_Years,Text,,лет
#Victory_Duration_Year,Text,,Год
#Victory_Duration_Separator,Text,,"и"
#Victory_Score,Text,,"Счёт"
#Victory_Stats_Format,Text,,"{[victory_duration]}
{[victory_difficulty]}    {[victory_city_funds]}    {[victory_score]}"
Overseers/#Treasury_Tribute,Text,,Подать
Overseers/#Treasury_ThisYear,Text,,Текущий год
Overseers/#Treasury_Wage,Text,,Жалование
Overseers/#Treasury_RequestAndFestivals,Text,,Запросы/праздники
Overseers/#Treasury_InterestsDebt,Text,,"Процентная ставка"
Overseers/#Chief_Migration_Leave_Nospace,Text,,Нехватка жилья препятствует иммиграции.
Overseers/#Chief_Migration_Leave_Nospace_hover,Text,,"Пока в городе есть свободное жильё и жители довольны вами, сюда будут прибывать новые поселенцы.
Создавайте новые жилые районы, чтобы город рос и процветал."
Overseers/#Chief_Employment_Unemployment_1,Text,,Уровень безработицы в городе {0}%.
Overseers/#Chief_Employment_Unemployment_10,Text,,<color=white><b>ВАЖНО:</b></color> Уровень безработицы в городе {0}%.
Overseers/#Chief_Crime_StolenDebens,Text,,"<color=white><b>{0}</b></color> — столько дебенов украдено в этом году."
Overseers/#Chief_Crime_40,Text,,"<color=white><b>ВАЖНО:</b></color> За последнее время произошло несколько краж."
Overseers/#Chief_Employment_Shortage_2,Text,,<color=white><b>ВАЖНО:</b></color> Нехватка рабочих: {0}.
Overseers/#Chief_FoodProduction_Eat_time_1,Text,,"<color=white><b>ВАЖНО:</b></color> Мы потребляем чуть больше, чем производим."
Overseers/#Chief_FoodStock_Supply3,Text,,<color=white><b>ВАЖНО:</b></color> Запасы пищи подходят к концу.
Overseers/#Chief_Health_40,Text,,<color=white><b>ВАЖНО:</b></color> Здоровье горожан ниже среднего — существует небольшой риск эпидемии.
Overseers/#Chief_Health_30,Text,,<color=white><b>ВАЖНО:</b></color> Здоровье горожан плохое — существует небольшой риск эпидемии.
Overseers/#Chief_Religion_Furious_1_1,Text,,<color=white><b>ВАЖНО:</b></color> Один бог недоволен.
Overseers/#Chief_Religion_Furious_2_1,Text,,<color=white><b>ВАЖНО:</b></color> Два бога недовольны.
Overseers/#Chief_Religion_Furious_3_1,Text,,<color=white><b>ВАЖНО:</b></color> Три бога недовольны.
Overseers/#Chief_Religion_Furious_4_5_1,Text,,<color=white><b>ВАЖНО:</b></color> Несколько богов недовольны.
Overseers/#Chief_Employment_Unemployment_20,Text,,<color=yellow><b>СЕРЬЁЗНО:</b></color> Уровень безработицы в городе {0}%.
Overseers/#Chief_Crime_60,Text,,"<color=yellow><b>СЕРЬЁЗНО:</b></color> За последнее время произошёл ряд краж."
Overseers/#Chief_Employment_Shortage_150,Text,,<color=yellow><b>СЕРЬЁЗНО:</b></color> Нехватка рабочих: {0}.
Overseers/#Chief_Finances_LowTaxesCoverage,Text,,<color=yellow><b>СЕРЬЁЗНО:</b></color> Мы не собираем большую часть причитающихся налогов!
Overseers/#Chief_FoodProduction_Eat_time_1_5,Text,,"<color=yellow><b>СЕРЬЁЗНО:</b></color> Мы потребляем больше, чем производим."
Overseers/#Chief_FoodStock_Supply2,Text,,<color=yellow><b>СЕРЬЁЗНО:</b></color> Запасы пищи подходят к концу.
Overseers/#Chief_Health_20,Text,,<color=yellow><b>СЕРЬЁЗНО:</b></color> Здоровье горожан плохое — существует риск эпидемии.
Overseers/#Chief_Religion_Furious_1_2,Text,,<color=yellow><b>СЕРЬЁЗНО:</b></color> Один бог недоволен.
