Key,Type,Desc,Ru
PHRASE_egyptian_city_attacked_comply_reason_P_A,Text,,"поскольку вашим воинам удалось победить врагов фараона у города {[city_name]},"
PHRASE_egyptian_city_attacked_comply_reason_P_B,Text,,вашим воинам удалось победить врагов фараона у города {[city_name]}. К тому же
PHRASE_egyptian_city_attacked_comply_reason_P_C,Text,,"хотя вашим воинам удалось победить врагов фараона у города {[city_name]},"
PHRASE_egyptian_city_attacked_comply_reason_C_A,Text,,"поскольку ваши воины умело расправились с врагом у города {[city_name]},"
PHRASE_egyptian_city_attacked_comply_reason_C_B,Text,,ваши воины умело расправились с врагом у города {[city_name]}. Вдобавок
PHRASE_egyptian_city_attacked_comply_reason_C_C,Text,,"хотя ваши воины умело расправились с врагом у города {[city_name]},"
PHRASE_egyptian_city_attacked_too_late_reason_P_A,Text,,"поскольку армия фараона так и не дождалась от вас подкрепления в битве у города {[city_name]},"
PHRASE_egyptian_city_attacked_too_late_reason_P_B,Text,,"армия фараона проиграла в битве у города {[city_name]}, поскольку ваше войско опоздало. Кроме того,"
PHRASE_egyptian_city_attacked_too_late_reason_P_C,Text,,"ваши войска прибыли слишком поздно, чтобы помочь армии фараона сразиться с врагом у города {[city_name]}, но ваши усилия всё же оценили. В результате"
PHRASE_egyptian_city_attacked_too_late_reason_C_A,Text,,"поскольку вы слишком долго не отправляли воинов на защиту города {[city_name]},"
PHRASE_egyptian_city_attacked_too_late_reason_C_B,Text,,ваши воины не успели на помощь городу {[city_name]}. К тому же
PHRASE_egyptian_city_attacked_too_late_reason_C_C,Text,,"ваши воины слишком поздно прибыли на помощь городу {[city_name]}, но ввиду того, что вы приложили усилия и были готовы пожертвовать своим войском,"
PHRASE_egyptian_city_attacked_refuse_reason_P_A,Text,,"поскольку вы отказались предоставить воинов фараону в битве у города {[city_name]},"
PHRASE_egyptian_city_attacked_refuse_reason_P_B,Text,,"фараон узнал, что вы отказались предоставить воинов в битве у города {[city_name]}. Притом"
PHRASE_egyptian_city_attacked_refuse_reason_P_C,Text,,"несмотря на то, что вы отказались предоставить воинов фараону в битве у города {[city_name]},"
PHRASE_egyptian_city_attacked_refuse_reason_C_A,Text,,"поскольку вы отказались предоставить воинов для борьбы с налётчиками у города {[city_name]},"
PHRASE_egyptian_city_attacked_refuse_reason_C_B,Text,,"в городе {[city_name]} пали духом, ведь вы отказались предоставить воинов против их врага. Кроме того,"
PHRASE_egyptian_city_attacked_refuse_reason_C_C,Text,,"хотя вы отказались предоставить воинов для борьбы с налётчиками у города {[city_name]},"
PHRASE_egyptian_city_attacked_lost_battle_reason_P_A,Text,,"поскольку воины, которых вы прислали фараону в город {[city_name]}, оказались слишком слабы,"
PHRASE_egyptian_city_attacked_lost_battle_reason_P_B,Text,,"хилое войско, которое вы предоставили фараону, было разбито у города {[city_name]}. Также"
PHRASE_egyptian_city_attacked_lost_battle_reason_P_C,Text,,"несмотря на то, что ваши воины не сумели помочь фараону у города {[city_name]},"
PHRASE_egyptian_city_attacked_lost_battle_reason_C_A,Text,,"поскольку воины, которых вы направили в город {[city_name]}, не смогли справиться с захватчиком,"
PHRASE_egyptian_city_attacked_lost_battle_reason_C_B,Text,,ваше слабое войско разгромили у города {[city_name]}. Вдобавок
PHRASE_egyptian_city_attacked_lost_battle_reason_C_C,Text,,"хотя вашим воинам не удалось победить у города {[city_name]},"
PHRASE_egyptian_city_attacked_no_reason_P_A,Text,,алчущие новых завоеваний
PHRASE_egyptian_city_attacked_no_reason_P_B,Text,,"бедам нет конца, ибо"
PHRASE_egyptian_city_attacked_no_reason_P_C,Text,,
PHRASE_egyptian_city_attacked_no_reason_C_A,Text,,из-за давнего конфликта
PHRASE_egyptian_city_attacked_no_reason_C_B,Text,,"бедам нет конца, ибо"
PHRASE_egyptian_city_attacked_no_reason_C_C,Text,,
PHRASE_distant_battle_comply_reason_P_A,Text,,"поскольку фараону удалось победить у города {[city_name]} благодаря вашему войску,"
PHRASE_distant_battle_comply_reason_P_B,Text,,ваши воины помогли фараону одержать победу у города {[city_name]}. И вот ещё что:
PHRASE_distant_battle_comply_reason_P_C,Text,,"хотя ваши воины помогли фараону одержать победу у города {[city_name]},"
PHRASE_distant_battle_comply_reason_C_A,Text,,"поскольку ваши воины помогли городу {[city_name]} выиграть битву,"
PHRASE_distant_battle_comply_reason_C_B,Text,,участие вашего войска стало решающим в победе у города {[city_name]}. Также
PHRASE_distant_battle_comply_reason_C_C,Text,,"хотя участие вашего войска стало решающим в победе у города {[city_name]},"
PHRASE_distant_battle_too_late_reason_P_A,Text,,"поскольку ваши солдаты не успели помочь фараону у города {[city_name]},"
PHRASE_distant_battle_too_late_reason_P_B,Text,,ваши солдаты не успели помочь фараону у города {[city_name]}. Вдобавок
PHRASE_distant_battle_too_late_reason_P_C,Text,,"хотя ваши солдаты не успели помочь фараону в битве у города {[city_name]}, он высоко оценил вашу готовность идти на жертвы ради царства. Поэтому"
PHRASE_distant_battle_too_late_reason_C_A,Text,,"поскольку ваши воины опоздали к битве у города {[city_name]},"
PHRASE_distant_battle_too_late_reason_C_B,Text,,"ваши воины опоздали к битве у города {[city_name]}. Кроме того,"
PHRASE_distant_battle_too_late_reason_C_C,Text,,"хотя ваши воины опоздали к битве у города {[city_name]}, вашу готовность идти на жертвы ради царства высоко оценили. Поэтому"
PHRASE_distant_battle_refuse_reason_P_A,Text,,"поскольку вы дерзко отклонили запрос фараона и не отправили воинов в город {[city_name]},"
PHRASE_distant_battle_refuse_reason_P_B,Text,,"вы дерзко отклонили запрос фараона и не отправили воинов в город {[city_name]}. Это весьма недальновидное решение. Как бы там ни было,"
PHRASE_distant_battle_refuse_reason_P_C,Text,,"хотя вы отклонили запрос фараона и не отправили воинов в город {[city_name]},"
PHRASE_distant_battle_refuse_reason_C_A,Text,,"поскольку вы отказались предоставить воинов для битвы у города {[city_name]},"
PHRASE_distant_battle_refuse_reason_C_B,Text,,"вы отказались предоставить воинов для битвы у города {[city_name]}, оставив земляков на произвол судьбы. К тому же"
PHRASE_distant_battle_refuse_reason_C_C,Text,,"хотя вы отказались предоставить воинов для битвы в городе {[city_name]},"
PHRASE_distant_battle_lost_battle_reason_P_A,Text,,"поскольку воины, которых вы направили в город {[city_name]}, не выстояли против врага фараона,"
PHRASE_distant_battle_lost_battle_reason_P_B,Text,,"воины, которых вы направили в город {[city_name]}, пали в бою с врагом фараона. Кроме того,"
PHRASE_distant_battle_lost_battle_reason_P_C,Text,,"хотя воины, которых вы направили в город {[city_name]}, пали в бою с врагом фараона,"
PHRASE_distant_battle_lost_battle_reason_C_A,Text,,"поскольку войску, которое вы направили в город {[city_name]}, не хватило сил, чтобы сокрушить врага,"
PHRASE_distant_battle_lost_battle_reason_C_B,Text,,"войску, которое вы направили в город {[city_name]}, не хватило сил, чтобы сокрушить нашего врага. Также учтите, что"
PHRASE_distant_battle_lost_battle_reason_C_C,Text,,"хотя воины, которых вы направили в город {[city_name]}, не сумели сокрушить врага,"
PHRASE_distant_battle_no_reason_P_A,Text,,"созывайте солдат, ибо"
PHRASE_distant_battle_no_reason_P_B,Text,,"наши беды не кончаются, поскольку"
PHRASE_distant_battle_no_reason_P_C,Text,,
PHRASE_distant_battle_no_reason_C_A,Text,,"снаряжайте солдат,"
PHRASE_distant_battle_no_reason_C_B,Text,,напастям нет конца. Ныне
PHRASE_distant_battle_no_reason_C_C,Text,,
PHRASE_general_request_comply_reason_P_A,Text,,"поскольку вы отправили запрошенное фараоном в город {[city_name]} ({[resource]}, {0} шт.),"
PHRASE_general_request_comply_reason_P_B,Text,,"вы отправили в город {[city_name]} то, о чём просил фараон ({[resource]}, {0} шт.). К слову,"
PHRASE_general_request_comply_reason_P_C,Text,,"вы отправили в город {[city_name]} то, о чём просил фараон ({[resource]}, {0} шт.), однако"
PHRASE_general_request_comply_reason_C_A,Text,,"поскольку вы отправили то, что хотел город {[city_name]} ({[resource]}, {0} шт.),"
PHRASE_general_request_comply_reason_C_B,Text,,"город {[city_name]} получил, что хотел ({[resource]}, {0} шт.). Также вам следует знать, что"
PHRASE_general_request_comply_reason_C_C,Text,,"хотя вы отправили то, что хотел город {[city_name]} ({[resource]}, {0} шт.),"
PHRASE_general_request_too_late_reason_P_A,Text,,"поскольку вы медлили с выполнением запроса фараона ({[resource]}, {0} шт.),"
PHRASE_general_request_too_late_reason_P_B,Text,,"Запрос фараона (({[resource]}, {0} шт.) не был выполнен из-за того, что вы опоздали. Кроме того,"
