Key,Type,Desc,Ru
Videos/Intro_big/Sub/0001,Text,,Фараон — сердце Египта.
Videos/Intro_big/Sub/0002,Text,,"Земля — его тело,"
Videos/Intro_big/Sub/0003,Text,,а народ — его кровь.
Videos/Intro_big/Sub/0004,Text,,"Однажды ты станешь править Египтом, сын мой."
Videos/Intro_big/Sub/0005,Text,,Твои армии громом пронесутся по бескрайней пустыне.
Videos/Intro_big/Sub/0006,Text,,"И она содрогнётся под их ногами,"
Videos/Intro_big/Sub/0007,Text,,"как содрогалась под тяжёлой поступью бесчисленных людей,"
Videos/Intro_big/Sub/0008,Text,,"трудившихся под палящим солнцем,"
Videos/Intro_big/Sub/0009,Text,,чтобы возвести вечную усыпальницу твоего деда.
Videos/Intro_big/Sub/0010,Text,,"Он был Египтом, как я сейчас и как ты станешь Египтом."
Videos/Intro_big/Sub/0011,Text,,Его лицо — моё лицо и твоё.
Videos/Intro_big/Sub/0012,Text,,Его сила — наша сила.
Videos/Intro_big/Sub/0013,Text,,Ведь его кровь течёт в наших жилах.
Videos/Intro_big/Sub/0014,Text,,"Всю жизнь он возводил этот монумент, который теперь взирает на нас."
Videos/Intro_big/Sub/0015,Text,,"Когда строительство завершилось, завершилась и его жизнь."
Videos/Intro_big/Sub/0016,Text,,"Но когда Анубис забрал моего отца, явилась новая жизнь."
Videos/Intro_big/Sub/0017,Text,,"И пока твоего деда оборачивали тонким льном,"
Videos/Intro_big/Sub/0018,Text,,тебя пеленали в младенческие одежды.
Videos/Intro_big/Sub/0019,Text,,И для Египта наступил новый день.
Videos/Intro_big/Sub/0020,Text,,Со временем каждый фараон должен услышать зов Осириса
Videos/Intro_big/Sub/0021,Text,,и отправиться в последнее путешествие в царство бессмертия.
Videos/Intro_big/Sub/0022,Text,,"Когда подходит к концу день правления фараона,"
Videos/Intro_big/Sub/0023,Text,,начинается ночь его вечного сна.
Videos/Intro_big/Sub/0024,Text,,"Пока его покой ничто не тревожит,"
Videos/Intro_big/Sub/0025,Text,,Египет будет стоять.
