Key,Type,Desc,Ru
ModOptions/#AlwaysShowPopulationUnemployment,Text,,Расширенная верхняя панель
ModOptions/#AlwaysShowPopulationUnemployment_tooltip_on,Text,,"Показывает на верхней панели дополнительную информацию (сведения о жилье, безработице или нехватке рабочих, рейтингах и т. д.)."
ModOptions/#AlwaysShowPopulationUnemployment_tooltip_off,Text,,Стандартная верхняя панель без дополнительной информации.
ModOptions/#EnableGoodGroupNamesFlavor,Text,,Названия групп товаров
ModOptions/#EnableGoodGroupNamesFlavor_tooltip_on,Text,,"Показывает тематические уточнения для групп товаров, например <color=white><b>рулоны льна</b></color>."
ModOptions/#EnableGoodGroupNamesFlavor_tooltip_off,Text,,Показывает группы товаров в обычной форме множественного числа.
ModOptions/#ListAllHouseGoods,Text,,Перечислять все товары в домах
ModOptions/#ListAllHouseGoods_tooltip_on,Text,,"Показывает все доступные в миссии товары, которые дом может хранить или уже хранит."
ModOptions/#ListAllHouseGoods_tooltip_off,Text,,"Показывает только товары, которые уже хранятся в доме."
ModOptions/#AlwaysAllowBuildingRotation,Text,,Всегда разрешать поворот зданий
ModOptions/#AlwaysAllowBuildingRotation_tooltip_on,Text,,"Позволяет менять ориентацию и вариант некоторых зданий после их размещения.
Для этого щёлкните по зданию <color=white><b>средней кнопкой мыши, удерживая левый Shift</b></color>.
Функция работает с большинством квадратных зданий, поддерживающих разные ориентации и варианты (включая дома и украшения).
Исключения: монументы, фермы, постройки у воды (причалы, доки, верфи и водоподъёмники), каменоломни и некоторые другие здания."
ModOptions/#AlwaysAllowBuildingRotation_tooltip_off,Text,,Стандартное поведение: здания нельзя поворачивать после размещения.
ModOptions/#FlatModeKeyModifier,Text,,Клавиша-модификатор плоского режима
ModOptions/#ChariotCopperCost,Text,,Расход меди на колесницу
ModOptions/#ChariotCopperCost_tooltip,Text,,"Укажите количество меди, расходуемой на создание колесницы в мастерской колесниц
(от <color=white><b>1</b></color> до <color=white><b>100</b></color> единиц меди)."
ModOptions/#RequireFullyStaffedAcademy,Text,,Требовать полного штата академии
ModOptions/#RequireFullyStaffedAcademy_tooltip_on,Text,,Военная академия улучшает воинов только при полном штате сотрудников.
ModOptions/#RequireFullyStaffedAcademy_tooltip_off,Text,,Военная академия может улучшать воинов даже при неполном штате сотрудников.
ModOptions/#CityScreenshotScale,Text,,Масштаб снимка города
ModOptions/#CityScreenshotScale_tooltip,Text,,Укажите множитель сверхвысокого разрешения для снимков всего города.
ModOptions/#CustomFontFileName,Text,,Шрифт игры
ModOptions/#UseClassicalNames,Text,,Классические названия городов
ModOptions/#UseClassicalNames_tooltip_on,Text,,"Показывает классические названия городов, если выбранный язык их поддерживает."
ModOptions/#UseClassicalNames_tooltip_off,Text,,Показывает стандартные египетские названия городов.
ModOptions/#EmulateVeryHardDifficulty,Text,,Имитировать очень высокую сложность
ModOptions/#EmulateVeryHardDifficulty_tooltip_on,Text,,"Имитирует уровень сложности <color=white><b>Очень высокий</b></color> из оригинальной игры.
Чтобы настройка действовала, выберите сложность <color=white><b>Высокая</b></color> в параметрах игрового процесса."
ModOptions/#EmulateVeryHardDifficulty_tooltip_off,Text,,"Использует уровень сложности, выбранный в параметрах игрового процесса."
ModOptions/#OriginalCampaignProgression,Text,,Оригинальное прохождение кампании
ModOptions/#OriginalCampaignProgression_tooltip_on,Text,,"Делает прохождение кампании похожим на оригинальную игру.
После завершения любой миссии кампании или загрузки сохранения завершённой миссии переход дальше всегда открывает следующий набор миссий на выбор, а не следующую незавершённую миссию.
Это позволяет повторно проходить развилки прямо в режиме кампании, не пользуясь экраном выбора миссий.
Семейные сбережения корректно переносятся из сохранения, использованного для перехода к следующей миссии, кроме случаев, когда перенос запрещён (например, в первой миссии периода)."
ModOptions/#OriginalCampaignProgression_tooltip_off,Text,,Стандартное прохождение кампании в Pharaoh: A New Era.
ModOptions/#PyramidSpeedup,Text,,Ускорение пирамид и мастаб
ModOptions/#PyramidSpeedup_tooltip_on,Text,,"Возвращает ускоренное строительство пирамид и мастаб из оригинальной игры.
Когда любой бог дарует благословение, с вероятностью около <color=white><b>50%</b></color> мгновенно завершается несколько этапов строительства пирамиды или мастабы.
Количество этапов зависит от благословения: <color=white><b>2</b></color>–<color=white><b>3</b></color> для малого и <color=white><b>4</b></color>–<color=white><b>6</b></color> для великого."
ModOptions/#PyramidSpeedup_tooltip_off,Text,,Стандартное поведение без автоматического завершения этапов строительства пирамид и мастаб.
ModOptions/#EnableFriendlyPredators,Text,,Дружелюбные хищники
ModOptions/#EnableFriendlyPredators_tooltip_on,Text,,Хищники не нападают на ваших жителей.
ModOptions/#EnableFriendlyPredators_tooltip_off,Text,,Хищники нападают на ваших жителей (стандартное поведение).
ModOptions/#EnableInfiniteAutoSaves,Text,,Неограниченные автосохранения
ModOptions/#EnableInfiniteAutoSaves_tooltip_on,Text,,"Разрешает неограниченное число автосохранений, если они включены в параметрах игрового процесса."
ModOptions/#EnableInfiniteAutoSaves_tooltip_off,Text,,"Использует стандартное ограниченное число автосохранений, если они включены в параметрах игрового процесса."
ModOptions/#EnableMapTimers,Text,,Таймеры миссий
ModOptions/#EnableMapTimers_tooltip_on,Text,,Возвращает таймеры из оригинальной игры в некоторые миссии кампании «Клеопатра».
ModOptions/#EnableMapTimers_tooltip_off,Text,,Стандартное поведение без таймеров в миссиях.
ModOptions/#EnableOffRoadMonumentConstruction,Text,,Строительство монументов без дорог
ModOptions/#EnableOffRoadMonumentConstruction_tooltip_on,Text,,Позволяет строителям монументов и работникам гильдий добираться до монумента без дороги.
ModOptions/#EnableOffRoadMonumentConstruction_tooltip_off,Text,,"Стандартное поведение: чтобы добраться до монумента, необходима дорога."
ModOptions/#EnableOffRoadWorkCampToStorage,Text,,Путь из рабочего лагеря на склад без дорог
